Sales Org,Customer,Material,Freight Term,Amount,Currency,Unit of Measure,Valid From,Valid To,SAP From,SAP To,Remarks
1040,13046,7FTA19912,FOB,8.85,USD,CAS,10/02/2018,10/31/2018,10/02/2018,10/31/2018,SUM-UNI-IR
1040,13046,7FTB19912,FOB,8.85,USD,CAS,10/02/2018,10/31/2018,10/02/2018,10/31/2018,W39-2018
1040,13046,7FTC19912,FOB,8.85,USD,CAS,10/02/2018,10/31/2018,10/02/2018,10/31/2018,"W39-2018,W40-2018"
1040,13046,7FTD19912,FOB,8.85,USD,CAS,10/02/2018,10/31/2018,10/02/2018,10/31/2018,
1040,13046,7FTE19912,FOB,7.45,USD,CAS,10/02/2018,10/31/2018,10/02/2018,10/31/2018,
